Plant Code,Plant Name,State,Latitude,Longitude,Energy Source,Nameplate Capacity (MW)
58012,IKEA Tampa 042,FL,27.953889,-82.4325,SUN,1.0
58013,IKEA Round Rock 027,TX,30.557044,-97.690286,SUN,1.4
58014,IKEA Perryville 460,MD,39.560833,-76.055278,SUN,2.1
58015,IKEA College Park 411,MD,39.021,-76.926,SUN,1.0
58017,Copper Mountain Solar 2,NV,35.786389,-114.962778,SUN,30.0
58018,Shooting Star,KS,37.518889,-99.446389,WND,104.0
58019,High Mesa,ID,42.88,-115.036667,WND,40.0
58020,Beebe 1A,MI,43.256944,-84.499722,WND,81.6
58021,Whitetail,TX,27.488056,-99.005278,WND,92.0
58025,Mt Wachusett Community College,MA,42.588583,-71.984194,WND,1.7
58026,Spruce Mountain WInd,ME,44.415587,-70.559814,WND,20.0
58027,SunE CPS2 LLC,TX,29.245,-98.418333,SUN,10.0
58028,IKEA Tejon 345,CA,34.975278,-118.946944,SUN,1.5
58029,Constellation New Energy Inc,NJ,39.928889,-74.818056,SUN,3.9
58030,Reeves Station Rd East,NJ,39.928333,-74.814444,SUN,5.5
58032,Padelford Solar,MA,41.853333,-71.065,SUN,2.2
58034,Nickel 1 Solar Facility,CA,35.647295,-119.716512,SUN,1.5
58035,Block Island Wind Farm,RI,41.114722,-71.521111,WND,30.0
58036,Riverside Renewable Energy LLC,NJ,39.903056,-75.125833,SUN,7.5
58037,Buckeye Union HS District 201,AZ,33.419167,-112.576111,SUN,3.3
58038,Buffalo Center Wind LLC,IA,43.385833,-92.759444,WND,1.5
58039,Axium Modesto Solar,CA,37.734167,-120.995556,SUN,25.0
58040,United Stationers Supply Solar Electric,NJ,40.320556,-74.501667,SUN,2.0
58041,Chisholm View Wind Project,OK,36.574722,-97.673611,WND,235.2
58042,Black Mountain Solar LLC,AZ,35.0227,-114.1627,SUN,9.0
58044,"Anchor Wind, LLC",IA,41.850833,-91.234167,WND,6.0
58045,Community Wind South,MN,43.713611,-95.802778,WND,30.0
58048,BayWa r.e Mozart LLC,TX,32.969722,-100.524167,WND,30.0
58049,Jordache Enterprises Solar,NJ,40.55569,-74.40836,SUN,1.3
58056,"Irwindale Brew Yard, LLC",CA,34.121667,-117.938333,SUN,2.5
58062,Imperial Valley Solar Company 1 LLC,CA,33.245833,-115.496667,SUN,23.0
58064,Laredo Bus Facility Solar Canopies,GA,33.783333,-84.267778,SUN,1.0
58065,Charlestown Wind Turbine,MA,42.391389,-71.070833,WND,1.5
58068,SunE CPS1 LLC,TX,29.245,-98.418333,SUN,10.0
58070,Mercer Mall,NJ,40.290556,-74.681944,SUN,1.1
58071,Windwalkers LLC,IA,43.384722,-93.221389,WND,1.6
58073,SEPV 1,CA,34.618861,-117.939444,SUN,2.0
58074,SEPV 2,CA,34.174167,-116.152778,SUN,2.0
58076,Edwards Air Force Base,CA,34.9077,-117.9206,SUN,1.0
58078,Rocky Ridge Wind Project,OK,35.135556,-99.003056,WND,148.8
58080,Wolf Ridge Wind,TX,33.733006,-97.428406,WND,112.5
58082,AMP Napoleon Solar Facility,OH,41.406667,-84.110833,SUN,3.5
58086,Intel Folsom,CA,38.645119,-121.172999,SUN,0.5
58088,Stony Creek Wind Farm NY,NY,42.767614,-78.415843,WND,94.4
58089,Roeder Family Wind Farm LLC,IA,43.297222,-93.283333,WND,1.6
58090,Middlesex Apple Orchard Solar,NJ,40.426389,-74.492222,SUN,1.3
58091,Keystone Solar,PA,39.861111,-76.221111,SUN,5.0
58093,BBB Corporate Headquarters,NJ,40.697222,-74.305,SUN,1.0
58094,Christmas Tree Shops DC Burlington NJ,NJ,40.104167,-74.812778,SUN,2.1
58095,Harmon DC Totowa NJ,NJ,40.903889,-74.247778,SUN,1.5
58096,Bed Bath & Beyond DC Port Reading NJ,NJ,40.568333,-74.2425,SUN,1.8
58097,Green Meadows,MA,41.669444,-70.531944,SUN,3.5
58098,El Cabo Wind,NM,34.651111,-105.461667,WND,298.0
58099,Montague Wind Power Facility LLC,OR,45.5857,-120.0904,WND,200.0
58101,Foundation Cemex River Plant,CA,34.561944,-117.307222,WND,1.6
58102,Foundation Cemex BMQ,CA,34.623056,-117.1125,WND,1.5
58103,Heritage Garden Wind Farm I LLC,MI,45.795556,-86.533889,WND,28.0
58104,Foundation Superior Farms,CA,38.42,-121.818056,WND,1.0
58105,Foundation Wal-Mart Red Bluff,CA,40.111111,-122.193889,WND,1.0
58106,Meadow Creek Project Company,ID,43.524429,-111.803921,WND,119.7
58111,Bishop Hill II Wind Farm,IL,41.2325,-90.174167,WND,81.0
58112,Foundation Cemex Madison,CA,38.692778,-121.9325,WND,1.0
58113,Foundation RRM,CA,33.917222,-116.815,WND,1.0
58114,Foundation NWNA,CA,33.914167,-116.749167,WND,1.6
58118,La Joya Del Sol,CA,36.678611,-119.7975,SUN,1.5
58119,Depot Park Solar System,CA,38.515,-121.398333,SUN,3.0
58121,Echo Wind Park,MI,43.8825,-83.161389,WND,49.6
58123,Wakefern Food Corp,NJ,40.51,-74.328333,SUN,2.0
58126,Limon Wind I,CO,39.380975,-103.573236,WND,200.0
58127,Limon Wind II,CO,39.341389,-103.581111,WND,200.0
58131,Outback Solar At Christmas Valley,OR,43.236944,-120.49,SUN,4.4
58134,Oberlin Spear Point Solar One,OH,41.302761,-82.227047,SUN,2.0
58135,Washington White Post Solar LLC,NC,35.5052,-76.8484,SUN,12.4
58137,Ensign Wind LLC,KS,37.614473,-100.278666,WND,98.9
58141,Groton Wind LLC,NH,43.7681,-71.8189,WND,48.0
58144,SVEP Solar Project Company,VT,42.753611,-73.226111,SUN,2.0
58145,Williamstown Solar,VT,44.113056,-72.605833,SUN,2.0
58147,Prescott Solar Plant,AZ,34.649444,-112.4275,SUN,10.8
58148,RE Kansas South LLC,CA,36.226111,-119.834167,SUN,20.0
58149,TA-High Desert LLC,CA,34.708889,-118.304722,SUN,20.0
58150,Black Cap Solar Plant,OR,42.17505,-120.362631,SUN,2.0
58154,North Sky River Energy LLC,CA,35.347778,-118.186389,WND,162.0
58155,Perrin Ranch Wind LLC,AZ,35.415556,-112.271111,WND,99.2
58162,Cirrus Wind 1 LLC,TX,33.033056,-101.6875,WND,61.2
58164,Slayton Solar,MN,43.980278,-95.767222,SUN,1.7
58169,CSUF Trigeneration,CA,33.880638,-117.88656,SUN,0.3
58171,Prairie Fire,AZ,32.116389,-110.82,SUN,4.5
58173,BMW Manufacturing Co,SC,34.894167,-82.178333,SUN,0.1
58174,Wilson Solar (MA),MA,42.264167,-71.98,SUN,2.0
58178,M. G. Emmett J. Bean Federal Center,IN,39.853056,-86.014444,SUN,1.9
58187,180 Raritan Solar,NJ,40.516111,-74.34,SUN,1.9
58202,RE Victor Phelan Solar One LLC,CA,34.51231,-117.47753,SUN,20.0
58203,"Minco Wind III, LLC",OK,35.372359,-98.182731,WND,100.8
58204,Grassland 3&4 Solar Project,CA,38.500278,-121.694167,SUN,2.0
58206,West Gates Solar Station,CA,36.142222,-120.1325,SUN,10.0
58209,"NextEra-Blackwell Wind, LLC",OK,36.846667,-97.4175,WND,59.8
58210,NFM Solar Power LLC,MA,42.610833,-72.474167,SUN,1.9
58213,Saddle Mountain Solar I,AZ,33.378333,-113.180833,SUN,15.0
58214,West Greenwich Solar,RI,41.649444,-71.71,SUN,1.9
58217,Grassland 1&2 Solar Project,CA,38.500278,-121.694167,SUN,2.0
58218,Spion Kop Wind Farm,MT,47.333333,-110.639167,WND,40.0
58220,Haviland Plastic Products,OH,41.016111,-84.5875,WND,1.5
58227,SEPV9 Power Plant,CA,34.192222,-116.090278,SUN,9.0
58228,Milford Solar Farm,DE,38.923056,-75.453333,SUN,11.8
58231,Lincoln Financial Field,PA,39.900833,-75.1675,SUN,2.9
58232,Tahquitz High School,CA,33.767222,-117.0175,SUN,1.0
58233,Wagner Wind LLC,CA,33.908889,-116.555556,WND,6.0
58234,SEPV 8,CA,34.171944,-116.1525,SUN,12.0
58236,Marshalltown Generating Station,IA,42.043333,-92.872778,SUN,2.6
58238,Georgia Mountain Community Wind Farm,VT,44.661667,-73.07,WND,10.0
58239,Kent County-Kennedyville,MD,39.297222,-75.982222,SUN,1.0
58240,Kit Carson,NM,36.966667,-105.438056,SUN,1.3
58241,Rock Hall,MD,39.144369,-76.231644,SUN,1.0
58242,Pattern Panhandle Wind LLC,TX,35.4275,-101.253056,WND,218.0
58243,Kent County - Worton Complex,MD,39.280833,-76.090833,SUN,1.0
58244,West Valley High School Solar,CA,33.719722,-117.009722,SUN,1.0
58248,Pierce College,CA,34.183611,-118.574722,SUN,1.9
58249,VA Sepulveda Ambulatory Care Center,CA,34.248889,-118.483333,SUN,4.4
58253,CBS Television City,CA,34.075,-118.36,SUN,1.6
58256,Los Alamos PV Site,NM,35.875556,-106.31,SUN,1.0
58257,Upper Pacolet Hydro,SC,34.921389,-81.745556,WAT,1.1
58259,Kalaeloa Solar Two,HI,21.32,-158.086944,SUN,5.0
58261,FAA NorCal TRACON,CA,38.559533,-121.257556,SUN,1.0
58262,Badger 1,AZ,33.498003,-112.813458,SUN,14.8
58270,Acushnet AD Makepeace,MA,41.798889,-70.743611,SUN,3.5
58271,Acushnet Hawes Reed Road,MA,41.662222,-71.0425,SUN,1.0
58272,Easthampton Landfill-City of Easthampton,MA,42.286944,-72.701389,SUN,1.9
58273,South Robeson Farm,NC,34.561146,-79.28097,SUN,5.0
58274,Raeford Farm,NC,34.968889,-79.211944,SUN,5.0
58275,Mass Midstate Solar 3,MA,42.219722,-71.878611,SUN,4.0
58276,Mass Midstate Solar 2,MA,42.170417,-72.200145,SUN,5.0
58277,Paia Hydroelectric Plant,HI,20.8867,-156.3378,WAT,1.3
